starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 11 16:50:59 2018	1523461859	29	98	127	98
Wed Apr 11 16:50:59 2018	1523461859	30	97	127	97
Wed Apr 11 16:51:08 2018	1523461868	101	26	127	25
Wed Apr 11 16:51:06 2018	1523461866	81	46	127	46
Wed Apr 11 16:51:10 2018	1523461870	58	69	127	69
Wed Apr 11 16:50:59 2018	1523461859	31	97	127	97
Wed Apr 11 16:51:10 2018	1523461870	59	69	127	69
Wed Apr 11 16:51:18 2018	1523461878	61	66	128	64
Wed Apr 11 16:50:58 2018	1523461858	103	24	128	24
Wed Apr 11 16:51:06 2018	1523461866	44	84	128	83
Wed Apr 11 16:51:06 2018	1523461866	70	58	128	58
Wed Apr 11 16:51:13 2018	1523461873	58	69	128	69
Wed Apr 11 16:51:06 2018	1523461866	70	58	128	58
Wed Apr 11 16:51:05 2018	1523461865	53	75	128	75
Wed Apr 11 16:51:08 2018	1523461868	84	44	128	44
Wed Apr 11 16:50:54 2018	1523461854	73	55	128	54
Wed Apr 11 16:51:13 2018	1523461873	59	69	128	69
Wed Apr 11 16:50:51 2018	1523461851	50	78	128	76
Wed Apr 11 16:50:54 2018	1523461854	30	98	128	98
Wed Apr 11 16:51:01 2018	1523461861	99	29	128	29
Wed Apr 11 16:51:15 2018	1523461875	81	47	128	46
Wed Apr 11 16:50:54 2018	1523461854	91	37	128	37
Wed Apr 11 16:50:51 2018	1523461851	51	78	128	77
Wed Apr 11 16:51:14 2018	1523461874	98	30	128	30
Wed Apr 11 16:51:18 2018	1523461878	66	62	128	62
Wed Apr 11 16:51:13 2018	1523461873	74	54	128	53
Wed Apr 11 16:51:13 2018	1523461873	18	111	129	110
Wed Apr 11 16:51:13 2018	1523461873	74	55	129	54
Wed Apr 11 16:51:13 2018	1523461873	73	55	129	54
Wed Apr 11 16:51:14 2018	1523461874	25	104	129	103
Wed Apr 11 16:51:22 2018	1523461882	86	43	129	43
Wed Apr 11 16:51:09 2018	1523461869	65	64	129	63
Wed Apr 11 16:51:13 2018	1523461873	18	111	129	110
Wed Apr 11 16:51:03 2018	1523461863	103	26	129	26
Wed Apr 11 16:51:01 2018	1523461861	62	67	129	67
Wed Apr 11 16:51:03 2018	1523461863	103	26	129	26
Wed Apr 11 16:51:09 2018	1523461869	65	64	129	63
Wed Apr 11 16:51:14 2018	1523461874	98	31	129	30
Wed Apr 11 16:51:14 2018	1523461874	99	31	129	30
Wed Apr 11 16:51:19 2018	1523461879	64	65	129	64
Wed Apr 11 16:51:19 2018	1523461879	64	65	129	64
Wed Apr 11 16:51:19 2018	1523461879	64	65	129	64
Wed Apr 11 16:51:19 2018	1523461879	64	65	129	65
Wed Apr 11 16:51:19 2018	1523461879	64	65	129	65
Wed Apr 11 16:50:54 2018	1523461854	63	66	129	66
Wed Apr 11 16:50:51 2018	1523461851	27	102	129	101
Wed Apr 11 16:50:54 2018	1523461854	93	36	129	36
Wed Apr 11 16:51:18 2018	1523461878	49	80	129	80
Wed Apr 11 16:50:54 2018	1523461854	48	82	129	81
Wed Apr 11 16:51:18 2018	1523461878	49	80	129	80
Wed Apr 11 16:51:19 2018	1523461879	64	65	130	65
Wed Apr 11 16:50:54 2018	1523461854	98	31	130	31
Wed Apr 11 16:50:54 2018	1523461854	48	82	130	81
Wed Apr 11 16:51:18 2018	1523461878	103	27	130	27
Wed Apr 11 16:50:51 2018	1523461851	19	111	130	109
Wed Apr 11 16:50:58 2018	1523461858	55	75	130	75
Wed Apr 11 16:50:54 2018	1523461854	41	89	130	89
Wed Apr 11 16:51:12 2018	1523461872	72	57	130	57
Wed Apr 11 16:51:11 2018	1523461871	60	70	130	58
Wed Apr 11 16:51:06 2018	1523461866	57	73	130	73
Wed Apr 11 16:50:57 2018	1523461857	48	83	130	82
Wed Apr 11 16:50:51 2018	1523461851	19	112	130	111
Wed Apr 11 16:50:50 2018	1523461850	61	70	130	69
Wed Apr 11 16:51:18 2018	1523461878	49	81	130	81
Wed Apr 11 16:51:03 2018	1523461863	104	27	130	26
Wed Apr 11 16:51:19 2018	1523461879	74	56	130	56
Wed Apr 11 16:50:51 2018	1523461851	19	111	130	111
Wed Apr 11 16:50:50 2018	1523461850	56	75	130	70
Wed Apr 11 16:50:54 2018	1523461854	48	82	130	81
Wed Apr 11 16:51:03 2018	1523461863	104	27	131	26
Wed Apr 11 16:50:53 2018	1523461853	28	103	131	102
Wed Apr 11 16:50:54 2018	1523461854	23	108	131	108
Wed Apr 11 16:50:50 2018	1523461850	54	76	131	76
Wed Apr 11 16:51:10 2018	1523461870	79	52	131	52
Wed Apr 11 16:51:18 2018	1523461878	49	82	131	81
Wed Apr 11 16:50:51 2018	1523461851	53	78	131	76
Wed Apr 11 16:50:50 2018	1523461850	55	76	131	76
Wed Apr 11 16:51:11 2018	1523461871	26	105	131	105
Wed Apr 11 16:50:50 2018	1523461850	55	76	131	76
Wed Apr 11 16:51:13 2018	1523461873	71	60	131	60
Wed Apr 11 16:50:50 2018	1523461850	56	76	131	75
Wed Apr 11 16:51:10 2018	1523461870	78	53	131	53
Wed Apr 11 16:51:03 2018	1523461863	45	86	131	86
Wed Apr 11 16:51:10 2018	1523461870	79	52	131	52
Wed Apr 11 16:51:13 2018	1523461873	58	73	131	69
Wed Apr 11 16:51:13 2018	1523461873	71	60	132	59
Wed Apr 11 16:51:20 2018	1523461880	47	85	132	84
Wed Apr 11 16:51:20 2018	1523461880	47	84	132	84
Wed Apr 11 16:51:14 2018	1523461874	47	85	132	84
Wed Apr 11 16:51:10 2018	1523461870	79	52	132	52
Wed Apr 11 16:50:53 2018	1523461853	37	95	132	94
Wed Apr 11 16:50:50 2018	1523461850	56	76	132	75
Wed Apr 11 16:51:14 2018	1523461874	32	100	132	99
Wed Apr 11 16:51:14 2018	1523461874	32	100	132	99
Wed Apr 11 16:51:20 2018	1523461880	69	63	132	62
Wed Apr 11 16:51:20 2018	1523461880	69	63	132	62
Wed Apr 11 16:51:14 2018	1523461874	47	85	132	84
Wed Apr 11 16:50:52 2018	1523461852	13	118	132	118
Wed Apr 11 16:50:54 2018	1523461854	58	74	132	74
Wed Apr 11 16:50:54 2018	1523461854	58	74	132	74
Wed Apr 11 16:51:10 2018	1523461870	78	54	132	53
Wed Apr 11 16:51:20 2018	1523461880	69	63	132	62
Wed Apr 11 16:50:58 2018	1523461858	66	66	132	66
Wed Apr 11 16:50:54 2018	1523461854	112	20	132	20
Wed Apr 11 16:50:52 2018	1523461852	14	118	132	118
Wed Apr 11 16:51:11 2018	1523461871	27	105	132	105
Wed Apr 11 16:51:20 2018	1523461880	47	86	133	85
Wed Apr 11 16:50:54 2018	1523461854	100	33	133	33
Wed Apr 11 16:50:54 2018	1523461854	57	75	133	74
Wed Apr 11 16:50:57 2018	1523461857	70	63	133	63
Wed Apr 11 16:50:52 2018	1523461852	14	119	133	119
Wed Apr 11 16:50:57 2018	1523461857	69	64	133	63
Wed Apr 11 16:50:53 2018	1523461853	30	103	133	103
Wed Apr 11 16:51:01 2018	1523461861	107	26	133	26
Wed Apr 11 16:51:20 2018	1523461880	48	85	133	84
Wed Apr 11 16:50:52 2018	1523461852	14	119	133	119
Wed Apr 11 16:51:11 2018	1523461871	28	105	133	105
Wed Apr 11 16:51:06 2018	1523461866	81	52	133	51
Wed Apr 11 16:50:54 2018	1523461854	54	79	133	78
Wed Apr 11 16:51:08 2018	1523461868	87	46	133	46
Wed Apr 11 16:51:20 2018	1523461880	47	86	133	85
Wed Apr 11 16:50:53 2018	1523461853	57	76	133	76
Wed Apr 11 16:50:54 2018	1523461854	86	47	133	47
Wed Apr 11 16:50:54 2018	1523461854	54	79	133	79
Wed Apr 11 16:51:01 2018	1523461861	85	48	133	48
Wed Apr 11 16:50:52 2018	1523461852	102	32	133	32
Wed Apr 11 16:51:18 2018	1523461878	49	85	133	81
Wed Apr 11 16:51:20 2018	1523461880	48	85	133	85
Wed Apr 11 16:51:06 2018	1523461866	81	52	134	51
Wed Apr 11 16:51:20 2018	1523461880	48	85	134	84
Wed Apr 11 16:51:03 2018	1523461863	86	48	134	47
Wed Apr 11 16:50:53 2018	1523461853	57	77	134	76
Wed Apr 11 16:50:54 2018	1523461854	86	48	134	48
Wed Apr 11 16:50:51 2018	1523461851	18	116	134	115
Wed Apr 11 16:51:01 2018	1523461861	86	48	134	47
Wed Apr 11 16:51:03 2018	1523461863	81	53	134	53
Wed Apr 11 16:51:21 2018	1523461881	99	35	134	29
Wed Apr 11 16:50:52 2018	1523461852	102	32	134	32
Wed Apr 11 16:51:09 2018	1523461869	46	89	134	89
Wed Apr 11 16:51:03 2018	1523461863	83	51	134	51
Wed Apr 11 16:51:01 2018	1523461861	82	52	134	51
Wed Apr 11 16:51:09 2018	1523461869	53	81	134	65
