starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 11 16:47:11 2018	1523461631	14	12	26	12
Wed Apr 11 16:47:11 2018	1523461631	14	12	26	12
Wed Apr 11 16:47:11 2018	1523461631	10	16	27	16
Wed Apr 11 16:47:11 2018	1523461631	14	13	27	12
Wed Apr 11 16:47:08 2018	1523461628	8	20	28	18
Wed Apr 11 16:47:08 2018	1523461628	8	19	28	18
Wed Apr 11 16:47:11 2018	1523461631	13	15	28	15
Wed Apr 11 16:47:11 2018	1523461631	13	15	28	15
Wed Apr 11 16:47:11 2018	1523461631	14	16	29	15
Wed Apr 11 16:47:11 2018	1523461631	14	16	29	15
Wed Apr 11 16:47:13 2018	1523461633	11	19	30	18
Wed Apr 11 16:47:13 2018	1523461633	11	18	30	18
Wed Apr 11 16:47:11 2018	1523461631	12	19	31	18
Wed Apr 11 16:47:07 2018	1523461627	13	18	31	18
Wed Apr 11 16:47:09 2018	1523461629	17	15	31	14
Wed Apr 11 16:47:07 2018	1523461627	16	15	32	15
Wed Apr 11 16:47:13 2018	1523461633	10	22	32	21
Wed Apr 11 16:47:13 2018	1523461633	11	21	32	21
Wed Apr 11 16:47:07 2018	1523461627	17	16	33	15
Wed Apr 11 16:47:13 2018	1523461633	11	22	33	21
Wed Apr 11 16:47:07 2018	1523461627	17	16	33	15
Wed Apr 11 16:47:11 2018	1523461631	15	18	33	17
Wed Apr 11 16:47:13 2018	1523461633	14	19	33	19
Wed Apr 11 16:47:07 2018	1523461627	17	16	33	15
Wed Apr 11 16:47:08 2018	1523461628	19	14	33	14
Wed Apr 11 16:47:08 2018	1523461628	19	15	33	14
Wed Apr 11 16:47:13 2018	1523461633	14	19	33	19
Wed Apr 11 16:47:11 2018	1523461631	17	16	33	16
Wed Apr 11 16:47:10 2018	1523461630	14	20	34	20
Wed Apr 11 16:47:13 2018	1523461633	19	15	34	14
Wed Apr 11 16:47:10 2018	1523461630	14	20	34	20
Wed Apr 11 16:47:10 2018	1523461630	16	18	34	18
Wed Apr 11 16:47:13 2018	1523461633	20	14	34	14
Wed Apr 11 16:47:13 2018	1523461633	20	14	34	14
Wed Apr 11 16:47:13 2018	1523461633	20	14	34	14
Wed Apr 11 16:47:11 2018	1523461631	18	17	34	16
Wed Apr 11 16:47:11 2018	1523461631	18	17	34	17
Wed Apr 11 16:47:11 2018	1523461631	13	21	34	20
Wed Apr 11 16:47:11 2018	1523461631	13	21	34	20
Wed Apr 11 16:47:08 2018	1523461628	19	15	34	15
Wed Apr 11 16:47:08 2018	1523461628	20	15	34	14
Wed Apr 11 16:47:13 2018	1523461633	19	15	34	15
Wed Apr 11 16:47:09 2018	1523461629	17	18	35	17
Wed Apr 11 16:47:10 2018	1523461630	16	18	35	18
Wed Apr 11 16:47:10 2018	1523461630	16	18	35	18
Wed Apr 11 16:47:07 2018	1523461627	18	17	35	17
Wed Apr 11 16:47:10 2018	1523461630	15	20	35	20
Wed Apr 11 16:47:11 2018	1523461631	8	27	35	26
Wed Apr 11 16:47:07 2018	1523461627	17	18	35	18
Wed Apr 11 16:47:07 2018	1523461627	16	20	35	19
Wed Apr 11 16:47:11 2018	1523461631	15	20	35	20
Wed Apr 11 16:47:11 2018	1523461631	13	22	35	21
Wed Apr 11 16:47:11 2018	1523461631	13	22	35	22
Wed Apr 11 16:47:11 2018	1523461631	11	24	35	24
Wed Apr 11 16:47:11 2018	1523461631	9	26	35	26
Wed Apr 11 16:47:11 2018	1523461631	9	26	35	26
Wed Apr 11 16:47:10 2018	1523461630	20	15	35	14
Wed Apr 11 16:47:08 2018	1523461628	19	16	35	16
Wed Apr 11 16:47:07 2018	1523461627	19	17	35	17
Wed Apr 11 16:47:07 2018	1523461627	17	18	35	18
Wed Apr 11 16:47:07 2018	1523461627	19	16	35	15
Wed Apr 11 16:47:11 2018	1523461631	16	20	35	19
Wed Apr 11 16:47:11 2018	1523461631	14	21	35	21
Wed Apr 11 16:47:10 2018	1523461630	17	19	35	18
Wed Apr 11 16:47:10 2018	1523461630	17	18	35	18
Wed Apr 11 16:47:10 2018	1523461630	17	18	35	18
Wed Apr 11 16:47:10 2018	1523461630	17	19	36	19
Wed Apr 11 16:47:07 2018	1523461627	13	22	36	22
Wed Apr 11 16:47:13 2018	1523461633	15	21	36	21
Wed Apr 11 16:47:13 2018	1523461633	17	18	36	17
Wed Apr 11 16:47:07 2018	1523461627	18	17	36	17
Wed Apr 11 16:47:13 2018	1523461633	9	27	36	26
Wed Apr 11 16:47:11 2018	1523461631	19	17	36	17
Wed Apr 11 16:47:11 2018	1523461631	19	17	36	16
Wed Apr 11 16:47:11 2018	1523461631	19	17	36	16
Wed Apr 11 16:47:11 2018	1523461631	18	17	36	17
Wed Apr 11 16:47:11 2018	1523461631	18	17	36	17
Wed Apr 11 16:47:09 2018	1523461629	17	18	36	18
Wed Apr 11 16:47:10 2018	1523461630	18	18	36	18
Wed Apr 11 16:47:10 2018	1523461630	20	16	36	14
Wed Apr 11 16:47:13 2018	1523461633	22	13	36	13
Wed Apr 11 16:47:07 2018	1523461627	18	18	36	16
Wed Apr 11 16:47:13 2018	1523461633	14	22	36	21
Wed Apr 11 16:47:11 2018	1523461631	9	27	36	26
Wed Apr 11 16:47:13 2018	1523461633	20	16	36	16
Wed Apr 11 16:47:11 2018	1523461631	19	17	36	16
Wed Apr 11 16:47:07 2018	1523461627	19	17	36	17
Wed Apr 11 16:47:13 2018	1523461633	15	21	36	21
Wed Apr 11 16:47:13 2018	1523461633	21	15	36	15
Wed Apr 11 16:47:11 2018	1523461631	17	19	36	19
Wed Apr 11 16:47:07 2018	1523461627	13	23	36	22
Wed Apr 11 16:47:11 2018	1523461631	17	19	36	19
Wed Apr 11 16:47:13 2018	1523461633	22	14	36	14
Wed Apr 11 16:47:11 2018	1523461631	18	18	36	17
Wed Apr 11 16:47:11 2018	1523461631	18	18	36	18
Wed Apr 11 16:47:09 2018	1523461629	18	18	36	18
Wed Apr 11 16:47:09 2018	1523461629	17	20	36	19
Wed Apr 11 16:47:11 2018	1523461631	16	20	36	19
Wed Apr 11 16:47:13 2018	1523461633	22	14	36	14
Wed Apr 11 16:47:11 2018	1523461631	17	19	36	18
Wed Apr 11 16:47:08 2018	1523461628	23	14	36	14
Wed Apr 11 16:47:11 2018	1523461631	17	19	36	19
Wed Apr 11 16:47:09 2018	1523461629	17	20	36	19
Wed Apr 11 16:47:13 2018	1523461633	13	23	36	22
Wed Apr 11 16:47:09 2018	1523461629	17	19	36	19
Wed Apr 11 16:47:13 2018	1523461633	22	14	36	14
Wed Apr 11 16:47:07 2018	1523461627	19	18	36	17
Wed Apr 11 16:47:07 2018	1523461627	14	23	37	21
Wed Apr 11 16:47:09 2018	1523461629	18	19	37	19
Wed Apr 11 16:47:13 2018	1523461633	23	14	37	13
Wed Apr 11 16:47:13 2018	1523461633	14	22	37	21
Wed Apr 11 16:47:11 2018	1523461631	15	22	37	22
Wed Apr 11 16:47:11 2018	1523461631	20	17	37	16
Wed Apr 11 16:47:11 2018	1523461631	12	25	37	25
Wed Apr 11 16:47:11 2018	1523461631	15	21	37	21
Wed Apr 11 16:47:11 2018	1523461631	15	21	37	21
Wed Apr 11 16:47:13 2018	1523461633	19	17	37	17
Wed Apr 11 16:47:11 2018	1523461631	17	19	37	19
Wed Apr 11 16:47:13 2018	1523461633	22	15	37	15
Wed Apr 11 16:47:11 2018	1523461631	16	20	37	20
Wed Apr 11 16:47:13 2018	1523461633	21	16	37	15
Wed Apr 11 16:47:09 2018	1523461629	22	15	37	15
Wed Apr 11 16:47:13 2018	1523461633	22	15	37	13
Wed Apr 11 16:47:11 2018	1523461631	15	22	37	21
Wed Apr 11 16:47:11 2018	1523461631	11	26	37	26
Wed Apr 11 16:47:08 2018	1523461628	15	22	37	22
Wed Apr 11 16:47:10 2018	1523461630	13	24	37	23
Wed Apr 11 16:47:11 2018	1523461631	17	20	37	20
Wed Apr 11 16:47:11 2018	1523461631	17	20	37	20
Wed Apr 11 16:47:13 2018	1523461633	21	16	37	15
Wed Apr 11 16:47:10 2018	1523461630	14	23	37	23
Wed Apr 11 16:47:08 2018	1523461628	17	20	37	19
Wed Apr 11 16:47:11 2018	1523461631	24	13	37	12
Wed Apr 11 16:47:11 2018	1523461631	11	26	37	26
Wed Apr 11 16:47:13 2018	1523461633	22	16	37	15
Wed Apr 11 16:47:10 2018	1523461630	16	21	37	21
Wed Apr 11 16:47:07 2018	1523461627	23	15	37	14
Wed Apr 11 16:47:08 2018	1523461628	17	20	37	19
Wed Apr 11 16:47:13 2018	1523461633	14	23	37	22
Wed Apr 11 16:47:10 2018	1523461630	17	20	37	20
Wed Apr 11 16:47:12 2018	1523461632	22	16	37	15
Wed Apr 11 16:47:10 2018	1523461630	16	21	37	18
Wed Apr 11 16:47:08 2018	1523461628	18	20	37	19
Wed Apr 11 16:47:12 2018	1523461632	21	17	37	16
Wed Apr 11 16:47:12 2018	1523461632	21	17	37	16
Wed Apr 11 16:47:11 2018	1523461631	18	19	38	19
Wed Apr 11 16:47:13 2018	1523461633	14	24	38	23
Wed Apr 11 16:47:12 2018	1523461632	21	16	38	16
Wed Apr 11 16:47:07 2018	1523461627	7	30	38	30
Wed Apr 11 16:47:08 2018	1523461628	18	20	38	19
Wed Apr 11 16:47:11 2018	1523461631	22	16	38	16
Wed Apr 11 16:47:09 2018	1523461629	22	16	38	15
Wed Apr 11 16:47:07 2018	1523461627	13	25	38	25
Wed Apr 11 16:47:08 2018	1523461628	17	21	38	19
Wed Apr 11 16:47:08 2018	1523461628	17	21	38	20
Wed Apr 11 16:47:08 2018	1523461628	17	21	38	20
Wed Apr 11 16:47:08 2018	1523461628	17	20	38	20
Wed Apr 11 16:47:10 2018	1523461630	19	19	38	15
Wed Apr 11 16:47:08 2018	1523461628	18	20	38	19
Wed Apr 11 16:47:08 2018	1523461628	18	20	38	19
Wed Apr 11 16:47:13 2018	1523461633	11	27	38	27
Wed Apr 11 16:47:11 2018	1523461631	28	10	38	10
Wed Apr 11 16:47:13 2018	1523461633	12	27	38	26
Wed Apr 11 16:47:11 2018	1523461631	18	20	38	17
Wed Apr 11 16:47:11 2018	1523461631	19	19	38	19
Wed Apr 11 16:47:13 2018	1523461633	23	16	38	15
Wed Apr 11 16:47:11 2018	1523461631	19	20	38	19
Wed Apr 11 16:47:07 2018	1523461627	20	19	38	18
Wed Apr 11 16:47:13 2018	1523461633	14	24	38	23
Wed Apr 11 16:47:10 2018	1523461630	20	19	38	19
Wed Apr 11 16:47:08 2018	1523461628	18	20	38	19
Wed Apr 11 16:47:09 2018	1523461629	23	16	38	15
Wed Apr 11 16:47:07 2018	1523461627	13	26	38	25
Wed Apr 11 16:47:11 2018	1523461631	18	20	38	19
Wed Apr 11 16:47:07 2018	1523461627	13	25	38	25
Wed Apr 11 16:47:09 2018	1523461629	24	15	38	15
Wed Apr 11 16:47:13 2018	1523461633	24	15	39	15
Wed Apr 11 16:47:13 2018	1523461633	14	25	39	23
Wed Apr 11 16:47:09 2018	1523461629	14	24	39	24
Wed Apr 11 16:47:09 2018	1523461629	23	16	39	16
Wed Apr 11 16:47:07 2018	1523461627	20	19	39	18
Wed Apr 11 16:47:09 2018	1523461629	22	17	39	17
Wed Apr 11 16:47:09 2018	1523461629	23	16	39	16
Wed Apr 11 16:47:07 2018	1523461627	18	20	39	19
Wed Apr 11 16:47:07 2018	1523461627	13	26	39	25
Wed Apr 11 16:47:07 2018	1523461627	13	26	39	26
Wed Apr 11 16:47:11 2018	1523461631	18	21	39	20
Wed Apr 11 16:47:11 2018	1523461631	18	21	39	20
Wed Apr 11 16:47:07 2018	1523461627	17	22	39	20
