starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 11 16:49:54 2018	1523461794	2	3	6	3
Wed Apr 11 16:49:54 2018	1523461794	2	4	6	3
Wed Apr 11 16:49:54 2018	1523461794	2	3	6	3
Wed Apr 11 16:49:54 2018	1523461794	2	4	6	3
Wed Apr 11 16:49:54 2018	1523461794	2	4	6	3
Wed Apr 11 16:49:54 2018	1523461794	2	4	6	3
Wed Apr 11 16:49:54 2018	1523461794	2	4	6	3
Wed Apr 11 16:49:54 2018	1523461794	2	4	6	3
Wed Apr 11 16:49:54 2018	1523461794	2	4	6	3
Wed Apr 11 16:49:54 2018	1523461794	2	4	6	4
Wed Apr 11 16:50:21 2018	1523461821	2	4	6	3
Wed Apr 11 16:49:54 2018	1523461794	2	4	6	3
Wed Apr 11 16:49:54 2018	1523461794	2	4	6	4
Wed Apr 11 16:50:21 2018	1523461821	3	3	6	3
Wed Apr 11 16:50:21 2018	1523461821	3	4	6	3
Wed Apr 11 16:49:54 2018	1523461794	2	4	6	3
Wed Apr 11 16:49:54 2018	1523461794	3	3	6	3
Wed Apr 11 16:49:54 2018	1523461794	3	3	6	3
Wed Apr 11 16:49:54 2018	1523461794	2	4	6	3
Wed Apr 11 16:50:21 2018	1523461821	2	4	6	3
Wed Apr 11 16:49:54 2018	1523461794	2	4	6	3
Wed Apr 11 16:49:54 2018	1523461794	3	4	6	3
Wed Apr 11 16:50:21 2018	1523461821	3	4	7	3
Wed Apr 11 16:49:54 2018	1523461794	2	4	7	4
Wed Apr 11 16:49:54 2018	1523461794	3	4	7	4
Wed Apr 11 16:49:54 2018	1523461794	2	4	7	4
Wed Apr 11 16:49:54 2018	1523461794	3	4	7	3
Wed Apr 11 16:49:54 2018	1523461794	3	4	7	3
Wed Apr 11 16:50:21 2018	1523461821	4	4	7	3
Wed Apr 11 16:49:54 2018	1523461794	3	4	7	3
Wed Apr 11 16:49:54 2018	1523461794	3	4	7	4
Wed Apr 11 16:50:06 2018	1523461806	4	3	8	3
Wed Apr 11 16:49:54 2018	1523461794	3	5	8	4
Wed Apr 11 16:50:04 2018	1523461804	3	5	8	5
Wed Apr 11 16:49:54 2018	1523461794	4	4	8	3
Wed Apr 11 16:50:03 2018	1523461803	4	4	8	4
Wed Apr 11 16:50:04 2018	1523461804	3	5	8	4
Wed Apr 11 16:49:54 2018	1523461794	3	5	8	5
Wed Apr 11 16:50:21 2018	1523461821	3	5	8	5
Wed Apr 11 16:49:54 2018	1523461794	4	4	8	4
Wed Apr 11 16:50:21 2018	1523461821	3	5	8	5
Wed Apr 11 16:50:05 2018	1523461805	4	4	8	4
Wed Apr 11 16:50:29 2018	1523461829	3	5	8	5
Wed Apr 11 16:50:21 2018	1523461821	4	4	8	4
Wed Apr 11 16:49:53 2018	1523461793	3	5	8	4
Wed Apr 11 16:50:06 2018	1523461806	3	5	8	5
Wed Apr 11 16:50:06 2018	1523461806	4	4	8	4
Wed Apr 11 16:50:29 2018	1523461829	4	5	9	5
Wed Apr 11 16:50:04 2018	1523461804	4	5	9	4
Wed Apr 11 16:50:06 2018	1523461806	4	4	9	4
Wed Apr 11 16:50:04 2018	1523461804	4	5	9	5
Wed Apr 11 16:50:04 2018	1523461804	4	5	9	4
Wed Apr 11 16:50:04 2018	1523461804	4	4	9	4
Wed Apr 11 16:50:04 2018	1523461804	4	5	9	5
Wed Apr 11 16:49:54 2018	1523461794	4	5	9	5
Wed Apr 11 16:50:29 2018	1523461829	4	4	9	4
Wed Apr 11 16:50:03 2018	1523461803	5	4	9	4
Wed Apr 11 16:50:04 2018	1523461804	4	5	9	5
Wed Apr 11 16:50:21 2018	1523461821	4	5	9	5
Wed Apr 11 16:50:29 2018	1523461829	4	5	9	5
Wed Apr 11 16:50:04 2018	1523461804	4	5	9	5
Wed Apr 11 16:50:04 2018	1523461804	4	5	9	4
Wed Apr 11 16:49:54 2018	1523461794	5	4	9	3
