starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 11 16:49:00 2018	1523461740	2	3	5	3
Wed Apr 11 16:49:01 2018	1523461741	2	3	5	3
Wed Apr 11 16:49:29 2018	1523461769	2	4	5	3
Wed Apr 11 16:49:01 2018	1523461741	2	3	5	3
Wed Apr 11 16:49:00 2018	1523461740	2	3	5	3
Wed Apr 11 16:49:01 2018	1523461741	2	4	5	3
Wed Apr 11 16:49:01 2018	1523461741	2	3	5	3
Wed Apr 11 16:49:01 2018	1523461741	2	3	5	3
Wed Apr 11 16:49:01 2018	1523461741	2	4	5	3
Wed Apr 11 16:49:01 2018	1523461741	2	4	5	3
Wed Apr 11 16:49:00 2018	1523461740	2	3	5	3
Wed Apr 11 16:49:00 2018	1523461740	2	4	6	3
Wed Apr 11 16:49:00 2018	1523461740	2	4	6	3
Wed Apr 11 16:49:00 2018	1523461740	2	3	6	3
Wed Apr 11 16:49:00 2018	1523461740	2	3	6	3
Wed Apr 11 16:49:01 2018	1523461741	2	3	6	3
Wed Apr 11 16:49:01 2018	1523461741	2	3	6	3
Wed Apr 11 16:49:01 2018	1523461741	2	4	6	3
Wed Apr 11 16:49:00 2018	1523461740	3	3	6	3
Wed Apr 11 16:49:00 2018	1523461740	2	4	6	3
Wed Apr 11 16:49:01 2018	1523461741	2	4	6	3
Wed Apr 11 16:49:00 2018	1523461740	2	4	6	3
Wed Apr 11 16:49:00 2018	1523461740	2	4	6	3
Wed Apr 11 16:49:00 2018	1523461740	2	4	6	3
Wed Apr 11 16:49:00 2018	1523461740	2	4	6	3
Wed Apr 11 16:49:01 2018	1523461741	2	4	6	4
Wed Apr 11 16:49:00 2018	1523461740	2	4	6	3
Wed Apr 11 16:49:18 2018	1523461758	2	3	6	3
Wed Apr 11 16:49:01 2018	1523461741	2	4	6	3
Wed Apr 11 16:49:00 2018	1523461740	2	4	6	4
Wed Apr 11 16:49:00 2018	1523461740	3	3	6	3
Wed Apr 11 16:49:00 2018	1523461740	2	4	6	3
