starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 11 16:51:52 2018	1523461912	19	15	34	14
Wed Apr 11 16:51:52 2018	1523461912	19	14	34	14
Wed Apr 11 16:51:40 2018	1523461900	18	18	36	17
Wed Apr 11 16:51:43 2018	1523461903	21	14	36	14
Wed Apr 11 16:51:45 2018	1523461905	16	20	36	18
Wed Apr 11 16:51:43 2018	1523461903	22	14	37	14
Wed Apr 11 16:51:45 2018	1523461905	17	19	37	19
Wed Apr 11 16:51:43 2018	1523461903	22	15	37	14
Wed Apr 11 16:51:43 2018	1523461903	22	15	37	15
Wed Apr 11 16:51:45 2018	1523461905	11	27	38	26
Wed Apr 11 16:51:45 2018	1523461905	11	27	38	26
Wed Apr 11 16:51:48 2018	1523461908	21	17	38	17
Wed Apr 11 16:51:41 2018	1523461901	20	18	38	18
Wed Apr 11 16:51:48 2018	1523461908	21	17	38	17
Wed Apr 11 16:51:50 2018	1523461910	21	17	38	17
Wed Apr 11 16:51:39 2018	1523461899	19	19	38	19
Wed Apr 11 16:51:39 2018	1523461899	19	19	38	19
Wed Apr 11 16:51:41 2018	1523461901	13	25	38	24
Wed Apr 11 16:51:46 2018	1523461906	20	19	39	19
Wed Apr 11 16:51:41 2018	1523461901	13	26	39	26
Wed Apr 11 16:51:50 2018	1523461910	21	18	39	18
Wed Apr 11 16:51:48 2018	1523461908	22	18	39	17
Wed Apr 11 16:51:48 2018	1523461908	22	18	39	17
Wed Apr 11 16:51:50 2018	1523461910	20	19	39	19
Wed Apr 11 16:51:41 2018	1523461901	13	26	39	26
Wed Apr 11 16:51:51 2018	1523461911	13	27	39	26
Wed Apr 11 16:51:50 2018	1523461910	22	17	39	17
Wed Apr 11 16:51:43 2018	1523461903	27	13	40	12
Wed Apr 11 16:51:41 2018	1523461901	13	27	40	25
Wed Apr 11 16:51:41 2018	1523461901	14	26	40	26
Wed Apr 11 16:51:46 2018	1523461906	21	19	40	18
Wed Apr 11 16:51:46 2018	1523461906	20	20	40	19
Wed Apr 11 16:51:46 2018	1523461906	21	19	40	18
Wed Apr 11 16:51:52 2018	1523461912	16	24	40	24
Wed Apr 11 16:51:52 2018	1523461912	16	24	40	24
Wed Apr 11 16:51:41 2018	1523461901	13	27	40	25
Wed Apr 11 16:51:43 2018	1523461903	27	13	40	13
Wed Apr 11 16:51:41 2018	1523461901	14	26	40	25
Wed Apr 11 16:51:46 2018	1523461906	23	17	40	17
Wed Apr 11 16:51:52 2018	1523461912	19	22	40	21
Wed Apr 11 16:51:52 2018	1523461912	19	21	40	21
Wed Apr 11 16:51:46 2018	1523461906	21	20	40	19
Wed Apr 11 16:51:33 2018	1523461893	14	26	40	26
Wed Apr 11 16:51:52 2018	1523461912	19	21	40	21
Wed Apr 11 16:51:33 2018	1523461893	14	26	40	26
Wed Apr 11 16:51:33 2018	1523461893	14	26	41	26
Wed Apr 11 16:51:42 2018	1523461902	25	15	41	15
Wed Apr 11 16:51:52 2018	1523461912	17	24	41	23
Wed Apr 11 16:51:52 2018	1523461912	17	24	41	23
Wed Apr 11 16:51:41 2018	1523461901	13	28	41	28
Wed Apr 11 16:51:52 2018	1523461912	16	25	41	24
Wed Apr 11 16:51:52 2018	1523461912	17	24	41	24
Wed Apr 11 16:51:52 2018	1523461912	16	25	41	24
Wed Apr 11 16:51:43 2018	1523461903	21	20	41	20
Wed Apr 11 16:51:41 2018	1523461901	13	29	41	28
Wed Apr 11 16:51:52 2018	1523461912	17	25	41	24
Wed Apr 11 16:51:52 2018	1523461912	24	17	41	17
Wed Apr 11 16:51:41 2018	1523461901	23	19	41	18
Wed Apr 11 16:51:48 2018	1523461908	26	15	41	15
Wed Apr 11 16:51:51 2018	1523461911	22	19	41	19
Wed Apr 11 16:51:52 2018	1523461912	18	24	41	24
Wed Apr 11 16:51:52 2018	1523461912	20	22	41	21
Wed Apr 11 16:51:41 2018	1523461901	23	19	42	18
Wed Apr 11 16:51:52 2018	1523461912	18	24	42	23
Wed Apr 11 16:51:46 2018	1523461906	18	24	42	23
Wed Apr 11 16:51:52 2018	1523461912	17	25	42	24
Wed Apr 11 16:51:47 2018	1523461907	23	18	42	16
Wed Apr 11 16:51:50 2018	1523461910	18	24	42	23
Wed Apr 11 16:51:50 2018	1523461910	18	24	42	23
Wed Apr 11 16:51:40 2018	1523461900	17	25	42	25
Wed Apr 11 16:51:43 2018	1523461903	22	20	42	20
Wed Apr 11 16:51:45 2018	1523461905	22	20	42	20
Wed Apr 11 16:51:52 2018	1523461912	17	25	42	24
Wed Apr 11 16:51:46 2018	1523461906	18	24	42	23
Wed Apr 11 16:51:36 2018	1523461896	23	20	42	18
Wed Apr 11 16:51:52 2018	1523461912	17	25	42	24
Wed Apr 11 16:51:40 2018	1523461900	16	26	42	26
Wed Apr 11 16:51:41 2018	1523461901	24	19	42	18
Wed Apr 11 16:51:41 2018	1523461901	26	17	43	17
Wed Apr 11 16:51:41 2018	1523461901	18	24	43	23
Wed Apr 11 16:51:42 2018	1523461902	20	23	43	22
Wed Apr 11 16:51:40 2018	1523461900	22	21	43	21
Wed Apr 11 16:51:34 2018	1523461894	25	17	43	17
Wed Apr 11 16:51:40 2018	1523461900	22	21	43	21
Wed Apr 11 16:51:41 2018	1523461901	26	17	43	17
Wed Apr 11 16:51:42 2018	1523461902	10	33	43	32
Wed Apr 11 16:51:41 2018	1523461901	26	17	43	17
Wed Apr 11 16:51:42 2018	1523461902	21	23	43	22
Wed Apr 11 16:51:41 2018	1523461901	25	18	43	18
Wed Apr 11 16:51:52 2018	1523461912	17	27	43	26
Wed Apr 11 16:51:48 2018	1523461908	19	24	43	24
Wed Apr 11 16:51:45 2018	1523461905	33	11	43	10
Wed Apr 11 16:51:41 2018	1523461901	26	18	43	17
Wed Apr 11 16:51:41 2018	1523461901	26	17	43	17
Wed Apr 11 16:51:42 2018	1523461902	21	23	44	23
Wed Apr 11 16:51:36 2018	1523461896	15	29	44	28
Wed Apr 11 16:51:45 2018	1523461905	31	13	44	12
Wed Apr 11 16:51:40 2018	1523461900	22	21	44	21
Wed Apr 11 16:51:48 2018	1523461908	20	24	44	22
Wed Apr 11 16:51:36 2018	1523461896	14	30	44	29
Wed Apr 11 16:51:45 2018	1523461905	33	11	44	11
Wed Apr 11 16:51:45 2018	1523461905	32	12	44	11
Wed Apr 11 16:51:41 2018	1523461901	20	24	44	23
Wed Apr 11 16:51:36 2018	1523461896	14	30	44	29
Wed Apr 11 16:51:40 2018	1523461900	17	27	44	26
Wed Apr 11 16:51:41 2018	1523461901	20	24	44	23
Wed Apr 11 16:51:41 2018	1523461901	20	24	44	23
Wed Apr 11 16:51:36 2018	1523461896	15	29	44	28
Wed Apr 11 16:51:41 2018	1523461901	20	24	44	23
Wed Apr 11 16:51:45 2018	1523461905	31	14	44	13
Wed Apr 11 16:51:45 2018	1523461905	16	28	44	28
Wed Apr 11 16:51:36 2018	1523461896	14	30	44	29
Wed Apr 11 16:51:45 2018	1523461905	33	11	44	11
Wed Apr 11 16:51:48 2018	1523461908	20	25	44	24
Wed Apr 11 16:51:43 2018	1523461903	27	17	44	17
Wed Apr 11 16:51:36 2018	1523461896	15	29	44	29
Wed Apr 11 16:51:45 2018	1523461905	16	28	44	28
Wed Apr 11 16:51:42 2018	1523461902	33	11	44	11
Wed Apr 11 16:51:43 2018	1523461903	27	18	44	17
Wed Apr 11 16:51:36 2018	1523461896	15	30	44	29
Wed Apr 11 16:51:45 2018	1523461905	10	34	44	33
Wed Apr 11 16:51:45 2018	1523461905	16	29	44	28
Wed Apr 11 16:51:45 2018	1523461905	33	11	44	10
Wed Apr 11 16:51:48 2018	1523461908	20	24	44	23
Wed Apr 11 16:51:46 2018	1523461906	24	20	44	19
Wed Apr 11 16:51:42 2018	1523461902	33	12	44	12
Wed Apr 11 16:51:46 2018	1523461906	27	18	44	18
Wed Apr 11 16:51:36 2018	1523461896	15	30	45	29
Wed Apr 11 16:51:40 2018	1523461900	20	24	45	24
Wed Apr 11 16:51:45 2018	1523461905	16	29	45	29
Wed Apr 11 16:51:37 2018	1523461897	25	20	45	19
Wed Apr 11 16:51:41 2018	1523461901	21	24	45	23
Wed Apr 11 16:51:42 2018	1523461902	34	11	45	10
Wed Apr 11 16:51:42 2018	1523461902	34	11	45	10
Wed Apr 11 16:51:45 2018	1523461905	14	30	45	30
Wed Apr 11 16:51:45 2018	1523461905	16	28	45	28
Wed Apr 11 16:51:42 2018	1523461902	21	23	45	23
Wed Apr 11 16:51:43 2018	1523461903	27	18	45	17
Wed Apr 11 16:51:46 2018	1523461906	27	18	45	18
Wed Apr 11 16:51:36 2018	1523461896	15	30	45	29
Wed Apr 11 16:51:46 2018	1523461906	26	18	45	18
Wed Apr 11 16:51:52 2018	1523461912	24	21	45	20
Wed Apr 11 16:51:43 2018	1523461903	27	17	45	17
Wed Apr 11 16:51:52 2018	1523461912	24	21	45	21
Wed Apr 11 16:51:52 2018	1523461912	25	20	45	20
Wed Apr 11 16:51:43 2018	1523461903	28	17	45	17
Wed Apr 11 16:51:43 2018	1523461903	18	26	45	26
Wed Apr 11 16:51:41 2018	1523461901	18	27	45	27
Wed Apr 11 16:51:43 2018	1523461903	27	18	45	17
Wed Apr 11 16:51:41 2018	1523461901	21	24	45	23
Wed Apr 11 16:51:36 2018	1523461896	16	29	45	28
Wed Apr 11 16:51:46 2018	1523461906	27	18	45	18
Wed Apr 11 16:51:46 2018	1523461906	26	19	45	19
Wed Apr 11 16:51:41 2018	1523461901	22	23	45	19
Wed Apr 11 16:51:46 2018	1523461906	26	19	45	19
Wed Apr 11 16:51:46 2018	1523461906	27	19	45	18
Wed Apr 11 16:51:45 2018	1523461905	20	25	45	24
Wed Apr 11 16:51:46 2018	1523461906	26	19	45	19
Wed Apr 11 16:51:43 2018	1523461903	27	18	45	17
Wed Apr 11 16:51:45 2018	1523461905	11	34	45	34
Wed Apr 11 16:51:43 2018	1523461903	19	26	45	26
Wed Apr 11 16:51:40 2018	1523461900	17	29	45	28
Wed Apr 11 16:51:40 2018	1523461900	16	29	45	28
Wed Apr 11 16:51:45 2018	1523461905	17	28	45	27
Wed Apr 11 16:51:50 2018	1523461910	24	22	45	22
Wed Apr 11 16:51:33 2018	1523461893	14	31	45	31
Wed Apr 11 16:51:45 2018	1523461905	16	29	45	28
Wed Apr 11 16:51:50 2018	1523461910	24	21	46	21
Wed Apr 11 16:51:46 2018	1523461906	24	22	46	22
Wed Apr 11 16:51:41 2018	1523461901	18	27	46	27
Wed Apr 11 16:51:41 2018	1523461901	21	25	46	23
Wed Apr 11 16:51:46 2018	1523461906	27	18	46	17
Wed Apr 11 16:51:40 2018	1523461900	12	34	46	33
Wed Apr 11 16:51:41 2018	1523461901	25	21	46	20
Wed Apr 11 16:51:50 2018	1523461910	19	26	46	26
Wed Apr 11 16:51:40 2018	1523461900	21	25	46	25
Wed Apr 11 16:51:47 2018	1523461907	26	20	46	17
Wed Apr 11 16:51:50 2018	1523461910	24	22	46	22
Wed Apr 11 16:51:47 2018	1523461907	16	30	46	27
Wed Apr 11 16:51:45 2018	1523461905	22	24	46	23
Wed Apr 11 16:51:46 2018	1523461906	24	22	46	22
Wed Apr 11 16:51:50 2018	1523461910	25	21	46	21
Wed Apr 11 16:51:43 2018	1523461903	23	23	46	23
Wed Apr 11 16:51:52 2018	1523461912	24	22	46	22
Wed Apr 11 16:51:50 2018	1523461910	20	26	46	25
Wed Apr 11 16:51:40 2018	1523461900	13	33	46	32
Wed Apr 11 16:51:43 2018	1523461903	19	27	46	27
Wed Apr 11 16:51:40 2018	1523461900	17	29	46	28
Wed Apr 11 16:51:40 2018	1523461900	22	24	46	24
Wed Apr 11 16:51:43 2018	1523461903	28	18	46	17
Wed Apr 11 16:51:48 2018	1523461908	25	21	46	20
Wed Apr 11 16:51:43 2018	1523461903	21	25	46	24
Wed Apr 11 16:51:40 2018	1523461900	17	29	46	28
Wed Apr 11 16:51:40 2018	1523461900	13	34	46	32
Wed Apr 11 16:51:48 2018	1523461908	27	19	46	19
Wed Apr 11 16:51:43 2018	1523461903	19	28	46	27
Wed Apr 11 16:51:46 2018	1523461906	24	23	46	23
Wed Apr 11 16:51:46 2018	1523461906	19	27	46	27
Wed Apr 11 16:51:41 2018	1523461901	16	30	46	30
Wed Apr 11 16:51:52 2018	1523461912	24	23	46	22
Wed Apr 11 16:51:34 2018	1523461894	24	22	46	22
Wed Apr 11 16:51:40 2018	1523461900	22	24	46	24
Wed Apr 11 16:51:43 2018	1523461903	22	24	46	24
Wed Apr 11 16:51:41 2018	1523461901	14	33	46	32
Wed Apr 11 16:51:43 2018	1523461903	18	29	47	28
Wed Apr 11 16:51:43 2018	1523461903	18	28	47	28
Wed Apr 11 16:51:49 2018	1523461909	16	31	47	31
Wed Apr 11 16:51:41 2018	1523461901	16	30	47	30
Wed Apr 11 16:51:51 2018	1523461911	24	23	47	23
Wed Apr 11 16:51:49 2018	1523461909	31	15	47	15
Wed Apr 11 16:51:49 2018	1523461909	31	15	47	15
Wed Apr 11 16:51:43 2018	1523461903	19	28	47	27
Wed Apr 11 16:51:52 2018	1523461912	23	23	47	23
Wed Apr 11 16:51:50 2018	1523461910	21	26	47	25
Wed Apr 11 16:51:40 2018	1523461900	13	34	47	34
Wed Apr 11 16:51:40 2018	1523461900	12	35	47	34
Wed Apr 11 16:51:40 2018	1523461900	12	34	47	34
Wed Apr 11 16:51:40 2018	1523461900	12	35	47	34
Wed Apr 11 16:51:46 2018	1523461906	19	28	47	27
Wed Apr 11 16:51:45 2018	1523461905	28	18	47	18
Wed Apr 11 16:51:43 2018	1523461903	23	23	47	23
Wed Apr 11 16:51:43 2018	1523461903	21	26	47	25
Wed Apr 11 16:51:40 2018	1523461900	13	34	47	32
Wed Apr 11 16:51:51 2018	1523461911	24	23	47	23
Wed Apr 11 16:51:48 2018	1523461908	27	20	47	19
Wed Apr 11 16:51:50 2018	1523461910	21	26	47	25
Wed Apr 11 16:51:51 2018	1523461911	24	23	47	23
Wed Apr 11 16:51:40 2018	1523461900	13	34	47	34
Wed Apr 11 16:51:46 2018	1523461906	24	23	47	23
Wed Apr 11 16:51:43 2018	1523461903	22	25	47	25
Wed Apr 11 16:51:51 2018	1523461911	32	15	47	14
Wed Apr 11 16:51:45 2018	1523461905	29	18	47	18
Wed Apr 11 16:51:41 2018	1523461901	16	31	47	31
Wed Apr 11 16:51:45 2018	1523461905	18	29	47	28
Wed Apr 11 16:51:43 2018	1523461903	27	20	47	19
Wed Apr 11 16:51:46 2018	1523461906	20	27	47	27
Wed Apr 11 16:51:40 2018	1523461900	12	35	47	35
Wed Apr 11 16:51:48 2018	1523461908	28	19	47	19
Wed Apr 11 16:51:51 2018	1523461911	23	24	47	23
Wed Apr 11 16:51:36 2018	1523461896	17	30	47	30
Wed Apr 11 16:51:48 2018	1523461908	23	24	47	24
Wed Apr 11 16:51:45 2018	1523461905	26	21	47	21
Wed Apr 11 16:51:43 2018	1523461903	16	31	47	30
Wed Apr 11 16:51:51 2018	1523461911	23	24	47	24
Wed Apr 11 16:51:41 2018	1523461901	29	18	47	18
Wed Apr 11 16:51:46 2018	1523461906	19	28	47	27
Wed Apr 11 16:51:51 2018	1523461911	28	20	47	20
Wed Apr 11 16:51:41 2018	1523461901	22	26	47	24
Wed Apr 11 16:51:45 2018	1523461905	27	21	47	21
Wed Apr 11 16:51:50 2018	1523461910	21	26	47	25
Wed Apr 11 16:51:43 2018	1523461903	22	26	47	25
Wed Apr 11 16:51:45 2018	1523461905	16	31	47	31
Wed Apr 11 16:51:52 2018	1523461912	23	24	47	24
Wed Apr 11 16:51:41 2018	1523461901	18	29	47	28
Wed Apr 11 16:51:43 2018	1523461903	16	31	47	30
Wed Apr 11 16:51:41 2018	1523461901	17	30	47	28
Wed Apr 11 16:51:40 2018	1523461900	18	29	47	28
Wed Apr 11 16:51:41 2018	1523461901	17	30	47	28
Wed Apr 11 16:51:40 2018	1523461900	16	31	47	30
Wed Apr 11 16:51:50 2018	1523461910	21	27	47	26
Wed Apr 11 16:51:48 2018	1523461908	29	19	47	18
Wed Apr 11 16:51:40 2018	1523461900	21	26	47	25
Wed Apr 11 16:51:46 2018	1523461906	24	24	47	24
Wed Apr 11 16:51:43 2018	1523461903	19	28	47	28
Wed Apr 11 16:51:43 2018	1523461903	29	19	47	18
Wed Apr 11 16:51:46 2018	1523461906	34	13	47	13
Wed Apr 11 16:51:51 2018	1523461911	20	27	48	27
Wed Apr 11 16:51:43 2018	1523461903	16	31	48	31
Wed Apr 11 16:51:39 2018	1523461899	24	23	48	23
Wed Apr 11 16:51:41 2018	1523461901	18	29	48	29
Wed Apr 11 16:51:43 2018	1523461903	24	24	48	24
Wed Apr 11 16:51:43 2018	1523461903	22	26	48	25
Wed Apr 11 16:51:43 2018	1523461903	22	26	48	25
Wed Apr 11 16:51:50 2018	1523461910	21	27	48	25
Wed Apr 11 16:51:51 2018	1523461911	25	22	48	22
Wed Apr 11 16:51:51 2018	1523461911	25	22	48	22
Wed Apr 11 16:51:45 2018	1523461905	25	23	48	22
Wed Apr 11 16:51:45 2018	1523461905	25	23	48	22
Wed Apr 11 16:51:50 2018	1523461910	33	14	48	14
Wed Apr 11 16:51:50 2018	1523461910	29	19	48	19
Wed Apr 11 16:51:50 2018	1523461910	21	27	48	26
Wed Apr 11 16:51:43 2018	1523461903	23	25	48	25
Wed Apr 11 16:51:45 2018	1523461905	17	31	48	31
Wed Apr 11 16:51:46 2018	1523461906	24	24	48	24
Wed Apr 11 16:51:41 2018	1523461901	17	31	48	29
Wed Apr 11 16:51:39 2018	1523461899	23	25	48	24
Wed Apr 11 16:51:40 2018	1523461900	18	30	48	28
Wed Apr 11 16:51:46 2018	1523461906	34	14	48	14
Wed Apr 11 16:51:41 2018	1523461901	34	14	48	13
Wed Apr 11 16:51:45 2018	1523461905	27	21	48	21
Wed Apr 11 16:51:50 2018	1523461910	21	27	48	26
Wed Apr 11 16:51:33 2018	1523461893	14	34	48	34
